Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Nov 17, 2000",How the Grinch Stole Christmas,Based on Fiction Book/Short Story,"$123,000,000","$55,820,330","$260,044,825","$438,980,791","$85,096,578","$345,141,403"
2,"Dec 22, 2000",Cast Away,Original Screenplay,"$85,000,000","$28,883,406","$233,632,142","$384,884,272","$193,598,374","$427,230,516"
3,"May 24, 2000",Mission: Impossible 2,Based on TV,"$120,000,000","$57,845,297","$215,409,889","$364,078,672","$334,178,627","$549,588,516"
4,"May 5, 2000",Gladiator,Original Screenplay,"$103,000,000","$34,819,017","$187,683,805","$317,130,387","$270,000,000","$457,683,805"
5,"Dec 15, 2000",What Women Want,Original Screenplay,"$65,000,000","$33,614,543","$182,805,123","$303,565,725","$191,300,000","$374,105,123"
6,"Jun 30, 2000",The Perfect Storm,Based on Factual Book/Article,"$120,000,000","$41,325,042","$182,618,434","$308,655,646","$146,093,000","$328,711,434"
7,"Oct 6, 2000",Meet the Parents,Original Screenplay,"$55,000,000","$28,623,300","$166,225,040","$280,553,027","$164,200,000","$330,425,040"
8,"Jul 14, 2000",X-Men,Based on Comic/Graphic Novel,"$75,000,000","$54,471,475","$157,299,717","$265,862,778","$139,572,650","$296,872,367"
9,"Jul 7, 2000",Scary Movie,Original Screenplay,"$19,000,000","$42,346,669","$157,019,771","$265,389,623","$120,180,229","$277,200,000"
10,"Jul 21, 2000",What Lies Beneath,Original Screenplay,"$90,000,000","$29,702,959","$155,464,351","$262,760,705","$133,229,638","$288,693,989"
11,"May 19, 2000",Dinosaur,Original Screenplay,"$127,500,000","$38,854,851","$137,748,063","$232,817,219","$218,400,000","$356,148,063"
12,"Dec 8, 2000","Crouching Tiger, Hidden Dragon",Based on Fiction Book/Short Story,"$15,000,000","$663,205","$128,067,808","$207,214,821","$85,446,864","$213,514,672"
13,"Mar 17, 2000",Erin Brockovich,Based on Real Life Events,"$50,000,000","$28,138,465","$125,548,685","$212,198,237","$132,256,558","$257,805,243"
